Model,Parameters,FLOPS,POS,NER,MLDoc,PAWS-X,XNLI,MLQA,SQAC,TAR-XQuAD
BETO uncased,110,43.52,97.81,80.85,96.38,84.25,77.76,64.12,72.22,74.81
BETO cased,110,43.52,98.95,87.14,96.65,89.8,81.98,67.65,78.65,77.81
DistilBETO,67,21.76,97.67,78.13,96.35,75.8,76.59,57.97,64.41,66.97
ALBETO tiny,5,2.41,97.34,75.42,95.82,80.2,73.43,51.84,59.28,66.43
ALBETO base,12,43.57,98.21,82.89,96.07,87.95,79.88,66.12,77.71,77.18
ALBETO large,18,154.78,97.98,82.36,92.22,86.05,78.94,65.56,76.36,76.72
ALBETO xlarge,59,618.81,98.2,81.42,95.7,89.05,81.68,68.26,78.64,80.15
ALBETO xxlarge,223,1237,98.43,83.06,96.85,89.85,82.42,70.17,81.49,79.13
BERTIN,125,43.52,99.02,85.66,96.47,88.65,80.5,66.06,78.42,77.05
RoBERTa BNE base,125,43.52,99,86.8,96.82,89.9,81.12,67.31,80.53,77.16
RoBERTa BNE large,355,154.72,61.83,21.47,97,90,51.62,67.69,80.41,77.34
ALBETO tiny kd,5,2.41,97.36,72.51,96.4,85.05,75.99,54.17,63.03,67.47
ALBETO base-2 kd,12,7.3,97.17,69.69,96.2,76.75,73.65,48.62,58.4,63.41
ALBETO base-4 kd,12,14.55,97.6,74.58,96.35,86.4,78.68,62.19,71.41,73.31
ALBETO base-6 kd,12,21.81,97.82,78.41,96.4,88.45,81.66,66.35,76.99,75.59
ALBETO base-8 kd,12,29.06,97.96,80.23,96.7,89.75,82.55,67.39,77.79,77.89
ALBETO base-10 kd,12,36.32,98,81.1,96.88,89.95,82.26,68.29,79.89,78.21